127.0.0.1 - - [26/Jun/2018:18:38:23 -0300] "GET / HTTP/1.1" 200 11458
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:35 -0300] "GET /projectMaster/ HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:36 -0300] "GET /projectMaster/publico/login.jsf HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:36 -0300] "GET /projectMaster/javax.faces.resource/theme.css.jsf?ln=primefaces-smoothness HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:36 -0300] "GET /projectMaster/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:36 -0300] "GET /projectMaster/javax.faces.resource/logocaixaaqui.png.jsf?ln=img HTTP/1.1" 200 18041
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:36 -0300] "GET /projectMaster/javax.faces.resource/keys.png.jsf?ln=img HTTP/1.1" 200 59952
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:37 -0300] "GET /favicon.ico HTTP/1.1" 500 8192
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:37 -0300] "GET /projectMaster/publico/atualizarBanco HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:38 -0300] "GET /projectMaster/publico/login.jsf HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/javax.faces.resource/theme.css.jsf?ln=primefaces-smoothness HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/javax.faces.resource/jquery.js.jsf?ln=primefaces/jquery HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/javax.faces.resource/scripty.js.jsf?ln=javascript HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/javax.faces.resource/logocaixaaqui.png.jsf?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/javax.faces.resource/keys.png.jsf?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:39 -0300] "GET /projectMaster/publico/atualizarBanco HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:40 -0300] "GET /projectMaster/publico/login.jsf HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:40 -0300] "GET /projectMaster/publico/atualizarBanco HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:45 -0300] "POST /projectMaster/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/jquery-ui.css.jsf?ln=primefaces/jquery/ui HTTP/1.1" 200 7943
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 53416
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/restrito/principal.jsf HTTP/1.1" 200 14936
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/ajax-loader.gif.jsf?ln=img HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/error.png.jsf?ln=img HTTP/1.1" 200 7848
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/logo.png.jsf?ln=img HTTP/1.1" 200 12687
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/setabaixo.png.jsf?ln=img HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/mail.png.jsf?ln=img HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [26/Jun/2018:18:38:46 -0300] "GET /projectMaster/javax.faces.resource/iconemenu.png.jsf?ln=img HTTP/1.1" 200 117
